Year,Country,Country ID,ECI,ECI+
2015,Mexico,namex,1.15387,1.03857
2015,Nicaragua,nanic,-1.31615,-0.971693
2015,Panama,napan,0.0789054,-0.961569
2015,El Salvador,naslv,-0.518145,0.094513
2015,Trinidad and Tobago,natto,-0.219598,
2015,United States,nausa,1.8166,1.12487
2015,Australia,ocaus,0.0971997,-0.11783
2015,New Zealand,ocnzl,0.59338,-0.056598
2015,Argentina,saarg,0.462111,-0.188967
2015,Bolivia,sabol,-1.06538,-1.22943
2015,Brazil,sabra,0.696066,0.361846
2015,Chile,sachl,0.0316813,-0.111206
2015,Colombia,sacol,0.0953318,0.194997
2015,Ecuador,saecu,-0.768335,-1.08043
2015,Peru,saper,-0.645699,-0.556697
2015,Paraguay,sapry,-0.63956,-0.602473
2015,Uruguay,saury,0.220677,-0.249724
2016,Angola,afago,-1.16876,
2016,Cote d'Ivoire,afciv,-0.987537,
2016,Cameroon,afcmr,-0.814567,
2016,Republic of the Congo,afcog,-1.07835,
2016,Algeria,afdza,-0.937221,
2016,Egypt,afegy,-0.346329,
2016,Ethiopia,afeth,-1.30394,
2016,Gabon,afgab,-1.36159,
2016,Ghana,afgha,-1.21682,
2016,Guinea,afgin,-1.44215,
2016,Kenya,afken,-0.705736,
2016,Liberia,aflbr,-0.98089,
2016,Libya,aflby,-1.26778,
2016,Morocco,afmar,-0.861004,
2016,Madagascar,afmdg,-1.47536,
2016,Mali,afmli,-0.99785,
2016,Mozambique,afmoz,-1.18114,
2016,Mauritania,afmrt,-0.833422,
2016,Mauritius,afmus,-0.638339,
2016,Malawi,afmwi,-0.468412,
2016,Nigeria,afnga,-1.73247,
2016,Sudan,afsdn,-1.63482,
2016,Senegal,afsen,-0.583953,
2016,Tunisia,aftun,-0.323494,
2016,Tanzania,aftza,-0.97857,
2016,Uganda,afuga,-0.383244,
2016,South Africa,afzaf,0.28477,
2016,Zambia,afzmb,-0.367271,
2016,Zimbabwe,afzwe,-0.707958,
2016,United Arab Emirates,asare,0.0911202,
2016,Azerbaijan,asaze,-0.650166,
2016,Bangladesh,asbgd,-1.77822,
2016,China,aschn,0.642376,
2016,Georgia,asgeo,-0.104348,
2016,Hong Kong,ashkg,0.520167,
2016,Indonesia,asidn,-0.359668,
2016,India,asind,0.31413,
2016,Iran,asirn,-0.157821,
2016,Israel,asisr,1.27878,
2016,Jordan,asjor,-0.101439,
2016,Japan,asjpn,2.27406,
2016,Kazakhstan,askaz,0.157371,
2016,Kyrgyzstan,askgz,-0.33118,
2016,Cambodia,askhm,-1.44677,
2016,South Korea,askor,1.69142,
2016,Kuwait,askwt,0.235139,
2016,Laos,aslao,-1.19835,
2016,Lebanon,aslbn,0.0486427,
2016,Sri Lanka,aslka,-0.972538,
2016,Mongolia,asmng,-0.767706,
2016,Malaysia,asmys,0.995461,
2016,Oman,asomn,-0.0404026,
2016,Pakistan,aspak,-0.935143,
2016,Philippines,asphl,0.220265,
2016,Qatar,asqat,0.499297,
2016,Saudi Arabia,assau,0.819673,
2016,Singapore,assgp,1.79973,
2016,Syria,assyr,-0.633554,
2016,Thailand,astha,0.650521,
2016,Tajikistan,astjk,-1.03731,
2016,Turkmenistan,astkm,-1.27173,
2016,Turkey,astur,0.150909,
2016,Uzbekistan,asuzb,-0.895987,
2016,Vietnam,asvnm,-0.669703,
2016,Yemen,asyem,-0.757001,
2016,Albania,eualb,-0.90769,
2016,Austria,euaut,1.63921,
2016,Bulgaria,eubgr,0.327278,
2016,Bosnia and Herzegovina,eubih,0.328647,
2016,Belarus,eublr,0.743585,
2016,Switzerland,euche,2.22117,
2016,Czech Republic,eucze,1.66047,
2016,Germany,eudeu,2.08459,
2016,Denmark,eudnk,1.21947,
2016,Spain,euesp,0.80013,
2016,Estonia,euest,0.843983,
2016,Finland,eufin,1.72464,
2016,France,eufra,1.40465,
2016,United Kingdom,eugbr,1.5493,
2016,Greece,eugrc,0.106201,
2016,Croatia,euhrv,0.666972,
2016,Hungary,euhun,1.37204,
2016,Ireland,euirl,1.40903,
2016,Italy,euita,1.10767,
2016,Lithuania,eultu,0.627923,
2016,Latvia,eulva,0.649569,
2016,Moldova,eumda,-0.475939,
2016,Macedonia,eumkd,-0.379236,
2016,Netherlands,eunld,1.28874,
2016,Norway,eunor,1.19882,
2016,Poland,eupol,1.09864,
2016,Portugal,euprt,0.26363,
2016,Romania,eurou,0.620618,
2016,Russia,eurus,0.8547,
2016,Serbia,eusrb,0.546327,
2016,Slovakia,eusvk,1.34513,
2016,Slovenia,eusvn,1.44739,
2016,Sweden,euswe,1.86277,
2016,Ukraine,euukr,0.619115,
2016,Canada,nacan,1.08422,
2016,Costa Rica,nacri,0.231586,
2016,Cuba,nacub,-0.274702,
2016,Dominican Republic,nadom,-0.382253,
2016,Guatemala,nagtm,-0.57015,
2016,Honduras,nahnd,-0.765916,
2016,Jamaica,najam,-0.258965,
2016,Mexico,namex,1.16038,
2016,Nicaragua,nanic,-1.34285,
2016,Panama,napan,0.124958,
2016,El Salvador,naslv,-0.491815,
2016,Trinidad and Tobago,natto,-0.174918,
2016,United States,nausa,1.78168,
2016,Australia,ocaus,0.146237,
2016,New Zealand,ocnzl,0.488085,
2016,Papua New Guinea,ocpng,-1.75799,
2016,Argentina,saarg,0.360496,
2016,Bolivia,sabol,-1.06344,
2016,Brazil,sabra,0.648284,
2016,Chile,sachl,0.0611241,
2016,Colombia,sacol,0.11439,
2016,Ecuador,saecu,-0.950771,
2016,Peru,saper,-0.565693,
2016,Paraguay,sapry,-0.767192,
2016,Uruguay,saury,0.177011,
2016,Venezuela,saven,-0.667168,
2017,Angola,afago,-1.3177,
2017,Cote d'Ivoire,afciv,-1.12772,
2017,Cameroon,afcmr,-1.01371,
2017,Republic of the Congo,afcog,-0.898092,
2017,Algeria,afdza,-0.811671,
2017,Egypt,afegy,-0.319753,
2017,Ethiopia,afeth,-1.27445,
2017,Gabon,afgab,-1.22477,
2017,Ghana,afgha,-1.15388,
2017,Guinea,afgin,-1.51688,
2017,Kenya,afken,-0.747829,
2017,Liberia,aflbr,-0.854269,
2017,Libya,aflby,-0.965428,
2017,Morocco,afmar,-0.89235,
2017,Madagascar,afmdg,-1.45882,
2017,Mali,afmli,-0.767797,
2017,Mozambique,afmoz,-1.24908,
2017,Mauritania,afmrt,-0.963114,
2017,Mauritius,afmus,-0.579654,
2017,Malawi,afmwi,-0.768715,
2017,Nigeria,afnga,-1.90268,
2017,Sudan,afsdn,-1.45787,
2017,Senegal,afsen,-0.518687,
2017,Tunisia,aftun,-0.287626,
2017,Tanzania,aftza,-1.01705,
2017,Uganda,afuga,-0.512514,
2017,South Africa,afzaf,0.268797,
2017,Zambia,afzmb,-0.514087,
2017,Zimbabwe,afzwe,-0.811801,
2017,United Arab Emirates,asare,0.128674,
2017,Azerbaijan,asaze,-0.654587,
2017,Bangladesh,asbgd,-1.71442,
2017,China,aschn,0.691307,
2017,Georgia,asgeo,-0.0587891,
2017,Hong Kong,ashkg,0.594188,
2017,Indonesia,asidn,-0.305644,
2017,India,asind,0.359807,
2017,Iran,asirn,-0.158038,
2017,Israel,asisr,1.3146,
2017,Jordan,asjor,-0.149852,
2017,Japan,asjpn,2.30938,
2017,Kazakhstan,askaz,0.0883664,
2017,Kyrgyzstan,askgz,-0.286814,
2017,Cambodia,askhm,-1.37692,
2017,South Korea,askor,1.77613,
2017,Kuwait,askwt,0.11607,
2017,Laos,aslao,-1.25108,
2017,Lebanon,aslbn,0.0803256,
2017,Sri Lanka,aslka,-0.901589,
2017,Mongolia,asmng,-0.78801,
2017,Malaysia,asmys,0.971372,
2017,Oman,asomn,-0.0609077,
2017,Pakistan,aspak,-0.859978,
2017,Philippines,asphl,0.381087,
2017,Qatar,asqat,0.396207,
2017,Saudi Arabia,assau,0.747155,
2017,Singapore,assgp,1.86534,
2017,Syria,assyr,-0.744963,
2017,Thailand,astha,0.711704,
2017,Tajikistan,astjk,-1.10384,
2017,Turkmenistan,astkm,-1.19506,
2017,Turkey,astur,0.175726,
2017,Uzbekistan,asuzb,-0.847152,
2017,Vietnam,asvnm,-0.623084,
2017,Yemen,asyem,-0.97195,
2017,Albania,eualb,-0.781571,
2017,Austria,euaut,1.62894,
2017,Bulgaria,eubgr,0.347659,
2017,Bosnia and Herzegovina,eubih,0.372865,
2017,Belarus,eublr,0.743075,
2017,Switzerland,euche,2.24386,
2017,Czech Republic,eucze,1.6431,
2017,Germany,eudeu,2.07537,
2017,Denmark,eudnk,1.1577,
2017,Spain,euesp,0.777415,
2017,Estonia,euest,0.898422,
2017,Finland,eufin,1.70679,
2017,France,eufra,1.38964,
2017,United Kingdom,eugbr,1.53259,
2017,Greece,eugrc,0.125884,
2017,Croatia,euhrv,0.623091,
2017,Hungary,euhun,1.38444,
2017,Ireland,euirl,1.40023,
2017,Italy,euita,1.11743,
2017,Lithuania,eultu,0.675449,
2017,Latvia,eulva,0.653054,
2017,Moldova,eumda,-0.464417,
2017,Macedonia,eumkd,-0.290303,
2017,Netherlands,eunld,1.30343,
2017,Norway,eunor,1.09466,
2017,Poland,eupol,1.09432,
2017,Portugal,euprt,0.258555,
2017,Romania,eurou,0.713669,
2017,Russia,eurus,0.852045,
2017,Serbia,eusrb,0.532947,
2017,Slovakia,eusvk,1.3402,
2017,Slovenia,eusvn,1.4319,
2017,Sweden,euswe,1.80773,
2017,Ukraine,euukr,0.556886,
2017,Canada,nacan,1.05671,
2017,Costa Rica,nacri,0.237988,
2017,Cuba,nacub,-0.379871,
2017,Dominican Republic,nadom,-0.363374,
2017,Guatemala,nagtm,-0.616793,
2017,Honduras,nahnd,-0.744556,
2017,Jamaica,najam,-0.239734,
2017,Mexico,namex,1.09955,
2017,Nicaragua,nanic,-1.33756,
2017,Panama,napan,0.119062,
2017,El Salvador,naslv,-0.336211,
2017,Trinidad and Tobago,natto,-0.0506048,
2017,United States,nausa,1.75541,
2017,Australia,ocaus,0.0863035,
2017,New Zealand,ocnzl,0.483484,
2017,Papua New Guinea,ocpng,-2.00821,
2017,Argentina,saarg,0.232335,
2017,Bolivia,sabol,-1.07744,
2017,Brazil,sabra,0.608252,
2017,Chile,sachl,0.0443139,
2017,Colombia,sacol,0.144356,
2017,Ecuador,saecu,-0.933232,
2017,Peru,saper,-0.598962,
2017,Paraguay,sapry,-0.676455,
2017,Uruguay,saury,0.207869,
2017,Venezuela,saven,-0.655229,
