Year,Country,id_3char,ECI,rank_cpi
1966,Iran,irn,-0.774142,68.0
1967,Greece,grc,0.13330899999999998,39.0
1967,Portugal,prt,0.909755,19.0
1967,Poland,pol,0.9955430000000001,18.0
1967,Norway,nor,1.41304,11.0
1967,Netherlands,nld,1.33455,12.0
1967,Italy,ita,1.8689099999999998,6.0
1967,Romania,rou,0.404673,32.0
1967,Ireland,irl,1.06419,17.0
1967,Hungary,hun,1.2096799999999999,16.0
1967,United Kingdom,gbr,2.03884,5.0
1967,Germany,deu,2.28536,1.0
1967,Finland,fin,1.32294,13.0
1967,Spain,esp,0.6431859999999999,26.0
1967,Denmark,dnk,1.31177,14.0
1967,Switzerland,che,2.12217,2.0
1967,Bulgaria,bgr,0.5856140000000001,27.0
1967,Belgium,bel,1.58365,10.0
1967,Austria,aut,2.0393,4.0
1967,Albania,alb,0.210635,36.0
1967,Sweden,swe,2.06452,3.0
1967,France,fra,1.7497,9.0
1967,Canada,can,0.75826,21.0
1967,Vietnam,vnm,-0.21662800000000001,48.0
1967,Dominican Republic,dom,-0.7399600000000001,64.0
1967,Venezuela,ven,-0.290236,51.0
1967,Uruguay,ury,0.278787,33.0
1967,Paraguay,pry,-0.49355200000000005,59.0
1967,Peru,per,-0.593102,63.0
1967,Ecuador,ecu,-0.782771,66.0
1967,Colombia,col,-0.020913,42.0
1967,Chile,chl,-0.025874,43.0
1967,Brazil,bra,-0.8494520000000001,72.0
1967,Bolivia,bol,-0.841633,70.0
1967,Costa Rica,cri,0.6879430000000001,24.0
1967,Argentina,arg,-0.281353,49.0
1967,Australia,aus,0.183548,37.0
1967,United States,usa,1.75501,8.0
1967,Trinidad and Tobago,tto,-0.183314,46.0
1967,El Salvador,slv,0.443734,30.0
1967,Panama,pan,0.702627,23.0
1967,Nicaragua,nic,0.02291,41.0
1967,Mexico,mex,0.031729,40.0
1967,Jamaica,jam,-0.45664799999999994,57.0
1967,Guatemala,gtm,0.178804,38.0
1967,New Zealand,nzl,0.23008,35.0
1967,Turkey,tur,-0.8351350000000001,69.0
1967,Honduras,hnd,-0.333715,55.0
1967,Syria,syr,-0.29768,52.0
1967,Tunisia,tun,-0.299681,53.0
1967,Togo,tgo,-0.9829530000000001,82.0
1967,Senegal,sen,-0.45705,58.0
1967,Sudan,sdn,-1.3676700000000002,91.0
